Customer_ID,Branch,City,Gender,Age,Profession,Account_Type,Account_Balance,Transaction_ID,Transaction_Type,Transaction_Amount,Transaction_Channel,Transaction_Date,Loan_Type,Loan_Amount,Credit_Score,Card_Type,Internet_Banking,Mobile_Banking,Customer_Since_Year,Last_Login_Days_Ago
100001,Chennai,Gurgaon,Female,66,Self-Employed,Current,4822.08,500001,Transfer,73506.16,Online,45133,Home Loan,1913173.07,872,None,No,No,2009,15
100002,Kolkata,Pune,Female,48,Self-Employed,Current,333404.26,500002,Transfer,196728.04,Mobile App,44873,Education Loan,215850.27,893,None,No,No,2021,83
100003,Chennai,Mumbai,Female,63,Retired,Salary,150664.21,500003,Deposit,118902.64,ATM,45213,Home Loan,1755422.05,403,None,No,No,2016,76
100004,Hyderabad,Bangalore,Male,46,Business,Salary,430527.52,500004,Transfer,153752.16,Mobile App,45094,Car Loan,1690932.96,716,Credit,Yes,No,2017,88
100005,Mumbai,Ghaziabad,Male,23,Student,Salary,472079.25,500005,Transfer,90413.1,Branch,45404,Car Loan,754810.65,340,Debit,No,No,2013,34
100006,Hyderabad,Mumbai,Female,53,Business,Current,344121.86,500006,Transfer,23946.36,Mobile App,44755,Home Loan,1382711.65,527,None,No,Yes,2022,14
100007,Kolkata,Noida,Male,48,Self-Employed,Salary,73893.32,500007,Transfer,192810.2,Branch,45456,Home Loan,1853415.82,730,Debit,Yes,Yes,2014,56
100008,Kolkata,Gurgaon,Female,49,Retired,Current,234585.54,500008,Transfer,64413.3,Branch,45221,Personal Loan,182669.82,407,Debit,Yes,Yes,2008,69
100009,Pune,Noida,Female,57,Salaried,Savings,232783.19,500009,Deposit,183591.87,Online,45393,Education Loan,709040.75,754,None,Yes,No,2006,19
100010,Delhi,Noida,Male,37,Retired,Current,415318.9,500010,Transfer,181520.87,Branch,45185,Education Loan,1948016.56,656,None,No,No,2021,90
100011,Chennai,Gurgaon,Male,39,Business,Salary,230847.21,500011,Withdrawal,19090.36,Mobile App,44837,None,1096366.17,420,None,Yes,Yes,2006,55
100012,Bangalore,Mumbai,Male,20,Self-Employed,Salary,166984.8,500012,Withdrawal,23029.12,Online,44656,None,183543.5,625,Debit,No,No,2008,49
100013,Bangalore,Noida,Female,25,Student,Salary,306064.43,500013,Transfer,122448.52,Mobile App,44725,Car Loan,1922075.29,869,Credit,Yes,Yes,2012,87
100014,Delhi,Delhi,Female,62,Retired,Salary,323894.03,500014,Withdrawal,7274.5,Mobile App,44879,Education Loan,1805479.32,385,None,Yes,No,2019,94
100015,Mumbai,Mumbai,Female,36,Business,Savings,405164.02,500015,Deposit,84290.15,ATM,45097,Car Loan,1612861.68,721,Credit,No,Yes,2005,32
100016,Delhi,Pune,Male,48,Business,Savings,450320.25,500016,Withdrawal,105605.26,Mobile App,44747,Home Loan,1587143.43,854,Credit,No,Yes,2021,78
100017,Mumbai,Pune,Male,49,Salaried,Current,445088.47,500017,Deposit,39438.08,Online,44610,Education Loan,971920.77,304,Debit,No,Yes,2008,27
100018,Chennai,Ghaziabad,Male,32,Student,Salary,313735.32,500018,Deposit,154057.15,ATM,44770,Car Loan,1750494.42,317,Debit,Yes,No,2023,11
100019,Chennai,Gurgaon,Male,56,Business,Savings,262615.49,500019,Payment,86373.08,Branch,44787,Personal Loan,611383.19,711,Debit,No,No,2011,50
100020,Kolkata,Pune,Male,48,Student,Savings,400809.36,500020,Withdrawal,84686.69,ATM,44742,Personal Loan,717154.71,655,Debit,No,No,2023,11
100021,Kolkata,Gurgaon,Male,20,Self-Employed,Savings,154088.03,500021,Withdrawal,46946.79,ATM,45340,Education Loan,432029,778,Credit,Yes,No,2016,2
100022,Kolkata,Mumbai,Male,68,Retired,Salary,379207.58,500022,Transfer,177571.01,ATM,44951,Education Loan,806257.55,418,Credit,Yes,Yes,2019,71
100023,Kolkata,Delhi,Female,49,Business,Savings,253545.36,500023,Transfer,2343.15,ATM,44738,None,467298.85,708,None,No,Yes,2021,70
100024,Bangalore,Bangalore,Male,27,Self-Employed,Salary,62701.78,500024,Payment,1477.86,Mobile App,45160,Education Loan,679651.11,845,Debit,Yes,No,2007,76
100025,Pune,Delhi,Male,45,Salaried,Savings,376680.53,500025,Transfer,199091.33,ATM,45057,None,1380755.6,544,Debit,Yes,Yes,2023,79
100026,Kolkata,Delhi,Female,44,Student,Savings,324586.5,500026,Withdrawal,4315.08,Mobile App,44674,Personal Loan,860200.59,882,Credit,No,No,2012,112
100027,Kolkata,Delhi,Female,65,Self-Employed,Salary,42129.53,500027,Deposit,31112.92,Mobile App,45320,Personal Loan,1535319.12,545,Debit,Yes,Yes,2011,2
100028,Kolkata,Faridabad,Male,63,Student,Salary,225733.97,500028,Payment,176596.23,Branch,44682,Personal Loan,958004.51,492,Debit,No,Yes,2012,59
100029,Mumbai,Bangalore,Female,57,Student,Salary,243760.86,500029,Deposit,123182.93,Mobile App,45374,Home Loan,278448.53,406,None,No,Yes,2011,65
100030,Hyderabad,Gurgaon,Male,60,Business,Savings,327102.54,500030,Transfer,125036.34,Online,44610,Education Loan,1484193.06,870,None,No,No,2005,53
